PR,Title,Author,URL
677,"feat(api-tab): implement environment APIs sub-tab end-to-end",hegsie,https://github.com/sefe/dorc/pull/677
676,"feat(audit): add scroll overview ruler to projects-audit diff",hegsie,https://github.com/sefe/dorc/pull/676
619,"99 - fix high sonarqube issues",slafeer-sefe,https://github.com/sefe/dorc/pull/619
607,"feat: propagate CancellationToken through IBuildServerClient (#592)",smurugan-sefe,https://github.com/sefe/dorc/pull/607
599,"Feature/595 frontend tests",smurugan-sefe,https://github.com/sefe/dorc/pull/599
597,"112-api access audit logs",slafeer-sefe,https://github.com/sefe/dorc/pull/597
575,"Restrict secret retrieval to users with 'read secrets' flag, Fixes #438",smurugan-sefe,https://github.com/sefe/dorc/pull/575
564,"Replace source env name in property values during clone (#563)",smurugan-sefe,https://github.com/sefe/dorc/pull/564
544,"feat: graceful shutdown and orphan recovery for Monitor service (#231)",smurugan-sefe,https://github.com/sefe/dorc/pull/544
503,"Fix race condition causing pending jobs to get permanently stuck",benhegartysefe,https://github.com/sefe/dorc/pull/503
489,"Add Azure demo playground deployment",hegsie,https://github.com/sefe/dorc/pull/489
270,"Fix script audit action type determination and component deletion in DOrc RefData operations",copilot-swe-agent,https://github.com/sefe/dorc/pull/270
